variant,weight_precision,model_footprint_gib,peak_vram_gib,process_ram_gib,tokens_per_second,auto_quality_score
Non-quantized BFLOAT16,BFLOAT16,2.8754,2.8956,1.8372,25.9213,85.0
4-bit NF4 / BFLOAT16 compute,4-bit NF4,1.0451,1.1178,1.56,14.0657,80.0
